slot_utc,count,min_seconds,p25_seconds,p50_seconds,p75_seconds,p95_seconds,p99_seconds,max_seconds,within_1m_percent,within_15m_percent,within_30m_percent,within_1h_percent,over_1h_percent,finalized_expected_count,finalized_observed_count,missing_count,missing_percent
0000,41,3439,3692,9733,10976,19335,31482,31482,0.00,0.00,0.00,17.07,82.93,40,40,0,0.00
0005,41,4353,4686,12484,13647,21665,36144,36144,0.00,0.00,0.00,0.00,100.00,40,40,0,0.00
0010,41,5751,6222,15392,16494,24505,39945,39945,0.00,0.00,0.00,0.00,100.00,40,40,0,0.00
0015,41,5571,6112,15553,16547,24399,39925,39925,0.00,0.00,0.00,0.00,100.00,40,40,0,0.00
0020,41,5593,6123,16139,16846,24627,40266,40266,0.00,0.00,0.00,0.00,100.00,40,40,0,0.00
0025,41,5324,5941,15925,16674,24383,40050,40050,0.00,0.00,0.00,0.00,100.00,40,40,0,0.00
0030,41,5169,5924,16006,16831,24357,40075,40075,0.00,0.00,0.00,0.00,100.00,40,40,0,0.00
0035,41,5208,5767,16002,17013,24249,41564,41564,0.00,0.00,0.00,0.00,100.00,40,40,0,0.00
0040,41,4935,5506,15768,16768,23981,41363,41363,0.00,0.00,0.00,0.00,100.00,40,40,0,0.00
0045,41,4712,5300,15701,16690,23881,41331,41331,0.00,0.00,0.00,0.00,100.00,40,40,0,0.00
0050,41,4527,5043,15518,16552,23760,41121,41121,0.00,0.00,0.00,0.00,100.00,40,40,0,0.00
0055,41,4223,4812,15521,16434,23603,40922,40922,0.00,0.00,0.00,0.00,100.00,40,40,0,0.00
0100,41,3958,4556,15284,16222,23338,40712,40712,0.00,0.00,0.00,0.00,100.00,40,40,0,0.00
0105,41,4195,4777,16524,17346,23970,41435,41435,0.00,0.00,0.00,0.00,100.00,40,40,0,0.00
0110,41,4082,5163,16953,17895,23996,41586,41586,0.00,0.00,0.00,0.00,100.00,40,40,0,0.00
0115,41,3839,4938,16768,17668,23848,41455,41455,0.00,0.00,0.00,0.00,100.00,40,40,0,0.00
0120,41,4070,4739,16928,17846,23706,41871,41871,0.00,0.00,0.00,0.00,100.00,40,40,0,0.00
0125,40,3893,4568,17057,17708,23688,41953,41953,0.00,0.00,0.00,0.00,100.00,40,40,0,0.00
0130,40,3537,4222,16514,17155,23245,41461,41461,0.00,0.00,0.00,2.50,97.50,40,40,0,0.00
0135,40,3527,4287,17164,17743,23727,41957,41957,0.00,0.00,0.00,2.50,97.50,40,40,0,0.00
0140,40,3471,4118,17490,18279,23859,42056,42056,0.00,0.00,0.00,5.00,95.00,40,40,0,0.00
0145,40,3198,3889,17225,18079,23607,41817,41817,0.00,0.00,0.00,15.00,85.00,40,40,0,0.00
0150,40,3048,3688,17030,17900,23360,41646,41646,0.00,0.00,0.00,20.00,80.00,40,40,0,0.00
0155,40,2717,3386,16732,17607,23063,41343,41343,0.00,0.00,0.00,30.00,70.00,40,40,0,0.00
0200,40,3121,3783,17931,19052,24092,42773,42773,0.00,0.00,0.00,15.00,85.00,40,40,0,0.00
0205,40,3241,3989,18351,19860,24705,43904,43904,0.00,0.00,0.00,7.50,92.50,40,40,0,0.00
0210,40,3079,3795,18091,19697,24533,43672,43672,0.00,0.00,0.00,20.00,80.00,40,40,0,0.00
0215,40,3025,3671,17969,19613,24510,43571,43571,0.00,0.00,0.00,20.00,80.00,40,40,0,0.00
0220,40,2866,3503,17801,19551,24443,43448,43448,0.00,0.00,0.00,27.50,72.50,40,40,0,0.00
0225,40,2613,3667,17568,19388,24311,43223,43223,0.00,0.00,0.00,20.00,80.00,40,40,0,0.00
0230,40,2963,3629,17573,19401,24521,43352,43352,0.00,0.00,0.00,20.00,80.00,40,40,0,0.00
0235,40,2676,3362,17293,19170,24280,43096,43096,0.00,0.00,0.00,30.00,70.00,40,40,0,0.00
0240,40,2444,3209,17052,18898,24109,42874,42874,0.00,0.00,0.00,30.00,70.00,40,40,0,0.00
0245,40,2257,3078,16808,18605,23870,42625,42625,0.00,0.00,0.00,30.00,70.00,40,40,0,0.00
0250,40,2059,2791,16522,18347,23598,42350,42350,0.00,0.00,0.00,30.00,70.00,40,40,0,0.00
0255,40,2253,2908,16808,18857,24102,42641,42641,0.00,0.00,0.00,30.00,70.00,40,40,0,0.00
0300,40,2753,3350,17813,19704,24931,43998,43998,0.00,0.00,0.00,30.00,70.00,40,40,0,0.00
0305,40,2336,2965,17427,19282,24501,43559,43559,0.00,0.00,0.00,30.00,70.00,40,40,0,0.00
0310,40,2427,2917,17325,19249,24539,43589,43589,0.00,0.00,0.00,30.00,70.00,40,40,0,0.00
0315,40,2194,2664,17066,19012,24280,43339,43339,0.00,0.00,0.00,30.00,70.00,40,40,0,0.00
0320,40,2259,2819,17336,19307,24786,43756,43756,0.00,0.00,0.00,30.00,70.00,40,40,0,0.00
0325,40,2033,2545,17104,19070,24575,43521,43521,0.00,0.00,0.00,30.00,70.00,40,40,0,0.00
0330,40,2137,2515,17121,19104,24771,43602,43602,0.00,0.00,0.00,30.00,70.00,40,40,0,0.00
0335,40,1833,2162,16777,18765,24379,43255,43255,0.00,0.00,0.00,30.00,70.00,40,40,0,0.00
0340,40,1555,2359,16544,18530,24209,43049,43049,0.00,0.00,5.00,30.00,70.00,40,40,0,0.00
0345,40,1758,2393,16385,18380,24059,42964,42964,0.00,0.00,2.50,30.00,70.00,40,40,0,0.00
0350,40,1554,2173,16100,18106,23917,42702,42702,0.00,0.00,5.00,30.00,70.00,40,40,0,0.00
0355,40,1480,2070,16006,17995,23920,42654,42654,0.00,0.00,10.00,30.00,70.00,40,40,0,0.00
0400,40,1498,2091,16113,18071,24092,42721,42721,0.00,0.00,5.00,30.00,70.00,40,40,0,0.00
0405,40,1807,2316,16565,18714,24620,44499,44499,0.00,0.00,0.00,30.00,70.00,40,40,0,0.00
0410,40,1797,2412,16628,18661,24575,44526,44526,0.00,0.00,2.50,30.00,70.00,40,40,0,0.00
0415,40,1897,2418,16576,18545,24572,44579,44579,0.00,0.00,0.00,30.00,70.00,40,40,0,0.00
0420,40,1652,2178,16266,18268,24330,44357,44357,0.00,0.00,5.00,30.00,70.00,40,40,0,0.00
0425,40,1594,2060,16141,18205,24363,44275,44275,0.00,0.00,7.50,30.00,70.00,40,40,0,0.00
0430,40,1565,2072,16061,18099,24429,44285,44285,0.00,0.00,7.50,30.00,70.00,40,40,0,0.00
0435,40,1460,1957,15971,17934,24257,44296,44296,0.00,0.00,12.50,30.00,70.00,40,40,0,0.00
0440,40,1170,1687,15643,17649,23956,44022,44022,0.00,0.00,25.00,30.00,70.00,40,40,0,0.00
0445,40,1002,1907,15501,17456,23769,43828,43828,0.00,0.00,17.50,30.00,70.00,40,40,0,0.00
0450,40,783,1660,15298,17196,23525,43582,43582,0.00,2.50,25.00,30.00,70.00,40,40,0,0.00
0455,40,1049,1516,15174,17007,23240,43331,43331,0.00,0.00,27.50,30.00,70.00,40,40,0,0.00
0500,40,1798,2334,15914,17657,23543,44097,44097,0.00,0.00,2.50,30.00,70.00,40,40,0,0.00
0505,40,1700,2187,15896,17501,23364,44105,44105,0.00,0.00,2.50,30.00,70.00,40,40,0,0.00
0510,40,1492,2026,15723,17303,23168,43903,43903,0.00,0.00,15.00,30.00,70.00,40,40,0,0.00
0515,40,1549,2086,15830,17358,23094,43879,43879,0.00,0.00,12.50,30.00,70.00,40,40,0,0.00
0520,40,1316,1839,15588,17115,22790,43598,43598,0.00,0.00,22.50,30.00,70.00,40,40,0,0.00
0525,40,1189,1702,15501,17079,22576,43416,43416,0.00,0.00,27.50,30.00,70.00,40,40,0,0.00
0530,40,1293,1793,15677,17281,22516,43655,43655,0.00,0.00,25.00,30.00,70.00,40,40,0,0.00
0535,40,1226,1680,15534,17312,22387,43537,43537,0.00,0.00,27.50,30.00,70.00,40,40,0,0.00
0540,40,1012,1415,15285,17048,22122,43271,43271,0.00,0.00,30.00,30.00,70.00,40,40,0,0.00
0545,40,780,1141,14995,16805,21855,42996,42996,0.00,12.50,30.00,30.00,70.00,40,40,0,0.00
0550,40,685,1716,14849,16703,21648,42770,42770,0.00,20.00,25.00,30.00,70.00,40,40,0,0.00
0555,40,1285,1745,14822,16661,21677,42645,42645,0.00,0.00,25.00,30.00,70.00,40,40,0,0.00
0600,40,2563,3264,17553,19231,25555,44465,44465,0.00,0.00,0.00,25.00,75.00,40,40,0,0.00
0605,40,2768,3368,17987,19654,26689,44840,44840,0.00,0.00,0.00,25.00,75.00,40,40,0,0.00
0610,40,2734,3354,17904,19518,26961,44824,44824,0.00,0.00,0.00,25.00,75.00,40,40,0,0.00
0615,40,2583,3236,18019,19601,27347,44855,44855,0.00,0.00,0.00,25.00,75.00,40,40,0,0.00
0620,40,2527,3206,18454,19888,27969,44989,44989,0.00,0.00,0.00,25.00,75.00,40,40,0,0.00
0625,40,2260,2912,18178,19614,27698,44703,44703,0.00,0.00,0.00,25.00,75.00,39,39,0,0.00
0630,40,2267,3475,18489,19755,28202,44827,44827,0.00,0.00,0.00,25.00,75.00,39,39,0,0.00
0635,40,1986,3204,18273,19463,27947,44569,44569,0.00,0.00,0.00,25.00,75.00,39,39,0,0.00
0640,40,1734,2953,18022,19204,27695,44302,44302,0.00,0.00,2.50,27.50,72.50,39,39,0,0.00
0645,40,1784,2690,17844,19084,27519,44067,44067,0.00,0.00,2.50,30.00,70.00,39,39,0,0.00
0650,40,1672,2600,17709,19206,27480,43866,43866,0.00,0.00,7.50,30.00,70.00,39,39,0,0.00
0655,40,1383,2340,17415,19059,27246,43589,43589,0.00,0.00,10.00,30.00,70.00,39,39,0,0.00
0700,40,1825,2752,17883,19599,28346,44192,44192,0.00,0.00,0.00,30.00,70.00,39,39,0,0.00
0705,40,1947,2912,17952,19707,28573,44287,44287,0.00,0.00,0.00,30.00,70.00,39,39,0,0.00
0710,40,1892,2797,17721,19481,28401,44078,44078,0.00,0.00,0.00,30.00,70.00,39,39,0,0.00
0715,40,1591,2516,17421,19179,28106,43776,43776,0.00,0.00,7.50,30.00,70.00,39,39,0,0.00
0720,40,1656,2672,17358,19187,28278,43735,43735,0.00,0.00,7.50,30.00,70.00,39,39,0,0.00
0725,40,1457,2415,17108,18914,28100,43480,43480,0.00,0.00,10.00,30.00,70.00,39,39,0,0.00
0730,40,1225,2132,16857,18642,27850,43199,43199,0.00,0.00,10.00,30.00,70.00,39,39,0,0.00
0735,40,1116,2008,16699,18617,27779,43036,43036,0.00,0.00,15.00,30.00,70.00,39,39,0,0.00
0740,40,968,2465,16487,18483,27778,42862,42862,0.00,0.00,20.00,30.00,70.00,39,39,0,0.00
